Last Name,First Name,Middle Name,Organization,Work Phone,Personal Phone,Code
Роро,Василий,Со,Company D,+7801431709,+7248079788,8706
Шукшин(а),Анна,мИ,Пятерочка,+7696842493,+7069547726,9829
Лоло,Рита,ФА,Company B,+7108269680,+7968957954,2128
Роро,Джек,До,Company E,+7807267584,+7726211731,7995
Шукшин(а),Рита,мИ,Company B,+7389998589,+7907225720,7811
Лоло,Андрей,Со,S7 Airlines,+7876419657,+7926687936,4257
Роро,Андрей,Со,S7 Airlines,+7112732391,+7632232444,2505
Заза,Андрей,Со,Company D,+7584298269,+7123410822,8903
Шукшин(а),Рита,Со,Company B,+7352632255,+7180821844,6603
Шукшин(а),Андрей,Со,Company B,+7474640569,+7906851978,5790
Роро,Джек,ФА,Company B,+7332222365,+7359445906,3453
Нана,Джек,Со,Company E,+7610019927,+7761963449,9651
Лоло,Рита,Со,Company E,+7938529727,+7489696199,9843
Роро,Андрей,мИ,Пятерочка,+7999783752,+7830924984,5064
Заза,Рита,До,Company D,+7778276323,+7807531542,3776
Шукшин(а),Рита,Со,Company B,+7908066351,+7708669512,9751
Лоло,Анна,До,S7 Airlines,+7242256193,+7806802350,5313
Шукшин(а),Анна,До,S7 Airlines,+7281002458,+7664696405,2617
Заза,Василий,Со,Company E,+7603526146,+7921569807,4609
Шукшин(а),Анна,До,Company B,+7851399054,+7985642283,9143
Нана,Василий,мИ,Company B,+7569963549,+7276858061,5619
Шукшин(а),Рита,Со,Company D,+7006623842,+7723132516,7131
Заза,Андрей,Со,Company B,+7269374172,+7078922509,3157
Роро,Джек,РЕ,Company E,+7414381775,+7611351879,6142
Нана,Андрей,мИ,Company D,+7447455758,+7636609263,2224
Шукшин(а),Андрей,Со,Пятерочка,+7090478721,+7411987498,8305
Лоло,Андрей,РЕ,Пятерочка,+7990128237,+7577408023,6186
Шукшин(а),Рита,РЕ,Пятерочка,+7332626046,+7747642252,6177
Шукшин(а),Рита,РЕ,Company E,+7752737839,+7588019759,8766
Роро,Анна,РЕ,Пятерочка,+7364535087,+7781004199,9654
Заза,Анна,ФА,Company D,+7108264544,+7303094992,2698
Заза,Рита,Со,Company B,+7924017417,+7132528338,2891
